activesupport, 4.0.0, MIT
ast, 1.1.0, MIT
atomic, 1.1.14, Apache-2.0
awesome_print, 1.1.0, MIT
backports, 3.3.3, MIT
brakeman, 2.1.1, MIT
bundler, 1.4.0.pre.2, MIT
bundler-audit, 0.2.0, GPLv3
cane, 2.6.0, Apache 2.0
code_analyzer, 0.4.2, MIT
colored, 1.2, MIT
consistency_fail, 0.3.2, MIT
erubis, 2.7.0, MIT
fastercsv, 1.5.5, ruby
haml, 4.0.3, MIT
highline, 1.6.19, Ruby
httparty, 0.11.0, MIT
i18n, 0.6.5, MIT
license_finder, 0.9.2, MIT
minitest, 4.7.5, MIT
multi_json, 1.8.0, MIT
multi_xml, 0.5.5, MIT
parallel, 0.8.1, MIT
parser, 2.0.0.pre7, MIT
powerpack, 0.0.7, MIT
rails-audit, 0.9.0, MIT
rails_best_practices, 1.14.3, MIT
rainbow, 1.1.4, MIT
rake, 10.1.0, MIT
require_all, 1.3.0, ruby
rubocop, 0.12.0, MIT
ruby-progressbar, 1.2.0, MIT
ruby2ruby, 2.0.6, MIT
ruby_parser, 3.2.2, MIT
sass, 3.2.10, MIT
sequel, 4.2.0, MIT
sexp_processor, 4.3.0, MIT
slim, 2.0.1, MIT
slop, 3.4.6, MIT
sqlite3, 1.3.8, MIT
temple, 0.6.6, MIT
terminal-table, 1.4.5, MIT
thor, 0.18.1, MIT
thread_safe, 0.1.3, Apache-2.0
tilt, 1.4.1, MIT
tzinfo, 0.3.37, MIT
